Delta function,FWHM,Auger coefficient
Gaussian,0.001,6.880656246518881e-64
Gaussian,0.005,7.019610314374165e-31
Gaussian,0.01,3.968689924403883e-30
Gaussian,0.03,2.726734522463694e-30
Gaussian,0.05,1.790243457432623e-30
Gaussian,0.07,1.4677031097542235e-30
Gaussian,0.1,1.4567886026561215e-30
Gaussian,0.15,1.5516831638041946e-30
Gaussian,0.2,1.7626264410405664e-30
Lorentzian,0.001,5.437412167113786e-31
Lorentzian,0.005,2.283885525050502e-30
Lorentzian,0.01,3.091796032070561e-30
Lorentzian,0.03,2.6817336056550233e-30
Lorentzian,0.05,2.6124495590454435e-30
Lorentzian,0.07,2.817707473778524e-30
Lorentzian,0.1,3.271120222364078e-30
Lorentzian,0.15,4.0707997567883534e-30
Lorentzian,0.2,4.805184664687258e-30
Rectangular,0.001,0.0
Rectangular,0.005,0.0
Rectangular,0.01,0.0
Rectangular,0.03,3.160672595976688e-30
Rectangular,0.05,1.8964035575860134e-30
Rectangular,0.07,1.4595008169358043e-30
Rectangular,0.1,1.063354467900918e-30
Rectangular,0.15,2.371820334322381e-30
Rectangular,0.2,1.7788652798359267e-30
